고유번호,지역,상호,상표,주소,전화번호,셀프여부, 품질인증주유소, 전산보고주유소
A0009143,서울 동대문구,배봉로주유소,HD현대오일뱅크,서울 동대문구 서울시립대로 108,02-2242-0556,셀프,N,N
A0009172,서울 동대문구,풍한주유소,SK에너지,서울 동대문구 안암로 168,02-924-5189,일반,N,N
A0009173,서울 동대문구,재정주유소,HD현대오일뱅크,서울 동대문구 전농로 121 (전농동),070-8256-4617,셀프,N,N
A0009177,서울 동대문구,홍능주유소,S-OIL,서울 동대문구 홍릉로 87 (청량리동),02-966-9190,일반,N,N
A0009182,서울 동대문구,(주)경동주유소,S-OIL,서울 동대문구 이문로 191 (이문동),02-965-6006,셀프,N,N
A0009195,서울 동대문구,HD현대오일뱅크㈜직영 스피드주유소,HD현대오일뱅크,서울 동대문구 천호대로 453 (장안동),02-2216-5151,일반,N,Y
A0009210,서울 동대문구,대성산업(주)동마장주유소,GS칼텍스,서울 동대문구 고산자로 405 (용두동),02-966-5451,셀프,N,Y
A0009211,서울 동대문구,대성산업㈜청량리주유소,GS칼텍스,서울 동대문구 왕산로 289 (청량리동),02-966-2714,셀프,N,Y
A0009215,서울 동대문구,삼미상사(주)장안킹셀프주유소,SK에너지,서울 동대문구  한천로 100 (장안동),02-2242-7115,셀프,N,Y
A0009218,서울 동대문구,(주)파랑에너지,GS칼텍스,서울 동대문구 망우로 126,02-2242-5145,셀프,N,N
A0009222,서울 동대문구,동서울고속주유소,SK에너지,서울 동대문구 한천로 414,02-969-1144,셀프,N,N
A0009229,서울 동대문구,열린주유소,S-OIL,서울 동대문구 한천로 263 (휘경동),02-2215-6543,일반,N,N
A0009231,서울 동대문구,재정제2주유소,HD현대오일뱅크,서울 동대문구 사가정로 90 (전농동),02-2249-6682,셀프,N,N
A0009232,서울 동대문구,(주)자연에너지 국민주유소,HD현대오일뱅크,서울 동대문구 답십리로 223 (답십리동),02-2216-7155,셀프,N,Y
A0009233,서울 동대문구,오동나무주유소,S-OIL,서울 동대문구  한천로 81 (답십리동),02-2247-5132,일반,N,N
A0009240,서울 동대문구,한영주유소 (한화),HD현대오일뱅크,서울 동대문구 망우로 38 (휘경동),02-2214-9890,일반,N,N
A0009248,서울 동대문구,삼영주유소,SK에너지,서울 동대문구 답십리로 258 (장안동),02-2217-2018,일반,N,N
A0009254,서울 동대문구,(주)안국에너지 삼원셀프주유소,SK에너지,서울 동대문구 망우로 90 (휘경동),02-2244-1972,셀프,N,Y
A0002243,서울 성동구,SK KH에너지 성수만세주유소,SK에너지,서울 성동구 왕십리로 109,02-499-8223,셀프,N,Y
A0006095,서울 성동구,아이콘주유소,S-OIL,서울 성동구 고산자로 273 (도선동),02-2291-5189,셀프,N,N
A0009260,서울 성동구,SK세원2주유소,SK에너지,서울 성동구 광나루로 184 (성수동1가),02-462-5665,일반,N,N
A0009279,서울 성동구,금호주유소,GS칼텍스,서울 성동구 금호로 39 (금호동4가),02-2297-0066,일반,N,N
A0009285,서울 성동구,청계로주유소,SK에너지,서울 성동구 청계천로 454 (하왕십리동),02-2294-4225,일반,N,N
A0009293,서울 성동구,삼우주유소,SK에너지,서울 성동구 천호대로 392,02-2245-8974,일반,N,Y
A0009324,서울 성동구,지에스칼텍스㈜ 도루코주유소,GS칼텍스,서울 성동구 아차산로 180,02-463-6919,셀프,N,Y
A0009332,서울 성동구,정호주유소,자가상표,서울 성동구 고산자로 307 (마장동),02-2297-9442,일반,N,N
A0009349,서울 성동구,SK에너지(주) 성수주유소,SK에너지,서울 성동구 뚝섬로 352 (성수동1가),02-467-7240,일반,N,Y
A0009354,서울 성동구,HD현대오일뱅크㈜직영 효진주유소,HD현대오일뱅크,서울 성동구 동일로 129,02-464-7252,일반,N,Y
A0009359,서울 성동구,SK에너지(주) 군자동주유소,SK에너지,서울 성동구 천호대로 446 (용답동),02-2244-4945,일반,N,Y
A0009361,서울 성동구,(주)서울에너지 직영,S-OIL,서울 성동구 천호대로 324 (용답동),02-3390-4338,셀프,N,N
A0009376,서울 성동구,HD현대오일뱅크㈜직영 성동셀프주유소,HD현대오일뱅크,서울 성동구 마장로 311 (마장동),02-2299-7333,셀프,N,Y
A0009392,서울 성동구,(주)옥수하이웨이스테이션,GS칼텍스,서울 성동구 독서당로 168 (옥수동),02-2282-5151,일반,N,N
A0009394,서울 성동구,KLP제2주유소,HD현대오일뱅크,서울 성동구 동일로 249 (송정동),02-465-5182,셀프,N,N
A0010154,서울 성동구,동일주유소,HD현대오일뱅크,서울 성동구 광나루로 254 (성수동2가),02-461-7100,일반,N,N
A0000335,서울 성북구,원천주유소,GS칼텍스,서울 성북구 돌곶이로 142 (장위동),070-4063-1057,셀프,N,N
A0001257,서울 성북구,이케이에너지㈜ 강산주유소,GS칼텍스,서울 성북구 보문로 27 (보문동7가),02-953-1448,셀프,N,Y
A0009121,서울 성북구,지에스칼텍스㈜ 화랑주유소,GS칼텍스,서울 성북구 화랑로 185,02-942-5152,일반,N,Y
A0009463,서울 성북구,신방주유소,S-OIL,서울 성북구 안암로 111 (안암동5가),02-922-5151,일반,N,N
A0009466,서울 성북구,동일주유소,S-OIL,서울특별시 성북구  보문로 85 (보문동5가),02-923-8484,셀프,N,Y
A0009480,서울 성북구,㈜명연에너지 효성주유소,GS칼텍스,서울 성북구 화랑로 27,02-942-5150,셀프,N,N
A0009486,서울 성북구,장위주유소,S-OIL,서울 성북구 화랑로 110 (하월곡동),02-6498-5189,셀프,N,N
A0009488,서울 성북구,재정제2주유소 길음지점,HD현대오일뱅크,서울 성북구 삼양로 78 (길음동),02-980-1311,일반,N,N
A0009490,서울 성북구,우리주유소,SK에너지,서울 성북구 화랑로 292,02-969-5185,셀프,N,Y
A0009492,서울 성북구,이케이에너지(주) 강산제2주유소,HD현대오일뱅크,서울 성북구 보국문로 52,02-942-1448,셀프,N,Y
A0009496,서울 성북구,신동방주유소,S-OIL,서울 성북구 월계로 84 (장위동),02-918-5151,셀프,N,N
A0009500,서울 성북구,(주)성북주유소,HD현대오일뱅크,서울 성북구 보문로 142,02-928-4900,셀프,N,N
A0009501,서울 성북구,(주)신용 구도일주유소화랑로,S-OIL,서울 성북구 화랑로 174,02-963-0051,셀프,N,Y
A0009502,서울 성북구,중앙에너비스 종암지점,SK에너지,서울 성북구 종암로 58,070-8707-4565,셀프,N,N
A0009507,서울 성북구,(주)삼표에너지 정릉주유소,GS칼텍스,서울 성북구 보국문로 35 (정릉동),02-914-6556,셀프,N,Y
A0009508,서울 성북구,HD현대오일뱅크㈜직영 고대셀프주유소,HD현대오일뱅크,서울 성북구 종암로 12 (종암동),02-912-5151,셀프,N,Y
A0009511,서울 성북구,HD현대오일뱅크㈜직영 북악셀프주유소,HD현대오일뱅크,서울 성북구 정릉로 218 (정릉동),02-911-5189,셀프,N,Y
A0009512,서울 성북구,장삼 쌍둥이 주유소,HD현대오일뱅크,서울 성북구 한천로 612 (장위동),02-909-0314,셀프,N,N
A0009514,서울 성북구,HD현대오일뱅크㈜직영 아리랑주유소,HD현대오일뱅크,서울 성북구 아리랑로 96 (정릉동),02-941-5189,일반,N,Y
A0009515,서울 성북구,SK에너지(주) 드림랜드주유소,SK에너지,서울 성북구 월계로 128 (장위동),02-916-9906,일반,N,Y
A0009520,서울 성북구,지에스칼텍스(주) 종암주유소,GS칼텍스,서울 성북구 종암로 145 (종암동),02-921-7785,셀프,N,Y
A0026419,서울 성북구,삼선주유소,S-OIL,서울 성북구 창경궁로 324,02-766-5105,셀프,N,N
A0032713,서울 성북구,지에스칼텍스㈜ 세창주유소,GS칼텍스,서울 성북구 동소문로 323,02-988-2491,셀프,N,Y
A0000074,서울 도봉구,구도일주유소 파크빌,S-OIL,서울 도봉구 해등로3길 86 (창동),02-906-5104,셀프,N,Y
A0009575,서울 도봉구,오복주유소,S-OIL,서울 도봉구 방학로 43,02-3494-1500,셀프,N,N
A0009599,서울 도봉구,지에스칼텍스㈜ 방학동주유소,GS칼텍스,서울 도봉구 방학로 186,02-3493-5189,셀프,N,Y
A0009600,서울 도봉구,지에스칼텍스㈜ 도봉주유소,GS칼텍스,서울 도봉구 도봉로 895 (도봉동),02-954-0118,셀프,N,Y
A0009642,서울 도봉구,삼미북부셀프주유소,SK에너지,서울 도봉구 도봉로 437 (쌍문동),02-992-5561,셀프,N,Y
A0009668,서울 도봉구,도봉제일주유소(주)송만에너지,HD현대오일뱅크,서울 도봉구 도봉로 783 (도봉동),02-955-5185,일반,N,Y
A0009669,서울 도봉구,HD현대오일뱅크㈜직영 영신주유소,HD현대오일뱅크,서울 도봉구 방학로 151,02-956-5152,일반,N,Y
A0009676,서울 도봉구,(주)자연에너지 햇살주유소,HD현대오일뱅크,서울 도봉구 방학로 142 (방학동),02-954-4555,셀프,N,Y
A0009677,서울 도봉구,(주)쌍문셀프주유소,HD현대오일뱅크,서울 도봉구 노해로 161 (쌍문동),02-998-9704,셀프,N,Y
A0009680,서울 도봉구,(주)헨지스에너지 구도일주유소 도봉,S-OIL,서울 도봉구 도봉로 706 (방학동),02-3491-3454,셀프,N,Y
A0009682,서울 도봉구,이케이에너지 주식회사,HD현대오일뱅크,서울 도봉구 도봉로 941 (도봉동),02-3494-3641,셀프,N,Y
A0009845,서울 도봉구,노원교주유소,HD현대오일뱅크,서울 도봉구 마들로 776 (도봉동),02-956-5189,셀프,N,N
A0010135,서울 도봉구,극동유화(주) 대안주유소,S-OIL,서울 도봉구 마들로 574 (창동),02-996-6640,셀프,N,Y
A0010144,서울 도봉구,대성산업(주)신창주유소,GS칼텍스,서울 도봉구 덕릉로 267 (창동),02-905-4441,셀프,N,Y
A0010146,서울 도봉구,동일석유(주) 창동주유소,SK에너지,서울 도봉구  도봉로 434 (창동),02-902-5544,셀프,N,Y
A0032674,서울 도봉구,한이에너지(주) 쌍문주유소,S-OIL,서울 도봉구 도봉로 547 (쌍문동),02-992-0220,셀프,N,N
A0000134,서울 서대문구,(주)한화미 구도일주유소 두꺼비,S-OIL,서울 서대문구 성산로 312,02-336-0611,셀프,N,N
A0000178,서울 서대문구,(주)미래아스팔트 신우주유소,S-OIL,서울 서대문구 가좌로 106(홍은동),02-304-5522,셀프,N,Y
A0000568,서울 서대문구,광호주유소,SK에너지,서울 서대문구 연희로 266 (홍은동),02-395-7236,일반,N,N
A0000585,서울 서대문구,(주)창원이엔지 홍제지점,HD현대오일뱅크,서울 서대문구 통일로 455 (홍제동),02-379-0753,일반,N,N
A0000591,서울 서대문구,연희주유소,SK에너지,서울 서대문구 연희로 129 (연희동 89-7번지),02-338-8045,일반,N,N
A0000623,서울 서대문구,(주)가재울뉴타운주유소,HD현대오일뱅크,서울 서대문구 모래내로 205,070-8879-7864,셀프,N,Y
A0000627,서울 서대문구,행촌제2주유소,SK에너지,서울 서대문구 성산로 490 (대신동),02-365-5189,셀프,N,N
A0000632,서울 서대문구,㈜우남에너지 문화사랑주유소,S-OIL,서울 서대문구 세검정로 87 (홍제동),02-395-4300,셀프,N,N
A0000669,서울 서대문구,HD현대오일뱅크㈜직영 독립문주유소,HD현대오일뱅크,서울 서대문구 통일로 384 (홍제동),02-735-0333,일반,N,Y
A0000716,서울 서대문구,HD현대오일뱅크㈜직영 연세주유소,HD현대오일뱅크,서울 서대문구 연희로 184,02-337-8220,셀프,N,Y
A0000737,서울 서대문구,남정주유소,GS칼텍스,서울 서대문구 모래내로 243 (남가좌동),02-305-9828,일반,N,N
A0000744,서울 서대문구,(주)안국에너지 삼보셀프주유소,SK에너지,서울 서대문구 연희로 78 (연희동),02-336-6151,셀프,N,Y
A0000746,서울 서대문구,삼미상사(주)서부주유소,SK에너지,서울 서대문구 성산로 255,02-334-4919,셀프,N,Y
A0000747,서울 서대문구,중앙에너비스 동교지점,SK에너지,서울 서대문구 연희로 12 (창천동),070-8707-4568,셀프,N,N
A0001193,서울 서대문구,지에스칼텍스(주)홍제동주유소,GS칼텍스,서울 서대문구 통일로 372,02-736-3708,셀프,N,Y
A0000571,서울 은평구,타이거주유소,SK에너지,서울 은평구 수색로 188 (증산동),02-309-9145,셀프,N,N
A0000619,서울 은평구,㈜오일닷컴 다회주유소,S-OIL,서울 은평구 증산로 441,02-375-5156,셀프,N,N
A0000629,서울 은평구,지에스칼텍스㈜ 신사제일주유소,GS칼텍스,서울 은평구 증산로 423 (신사동),02-308-4333,셀프,N,Y
A0000630,서울 은평구,지에스칼텍스㈜ 서부주유소,GS칼텍스,서울 은평구 응암로 210 (응암동),02-302-6041,셀프,N,Y
A0000680,서울 은평구,성원이앤에스(주)은평지점,GS칼텍스,서울 은평구 통일로 968 (진관동),02-352-4451,셀프,N,N
A0000683,서울 은평구,대성산업㈜ 대성주유소,GS칼텍스,서울 은평구 통일로 642,02-355-3434,셀프,N,Y
A0000686,서울 은평구,(주)디오티디 은평유니콘주유소,HD현대오일뱅크,서울 은평구 통일로 1151 (진관동),02-356-9051,일반,N,Y
A0000687,서울 은평구,은평뉴타운주유소,SK에너지,서울 은평구 통일로 924 (불광동),02-355-0349,셀프,N,Y
A0000690,서울 은평구,지에스칼텍스(주)수색뉴타운주유소,GS칼텍스,서울 은평구 수색로 350 (수색동),02-309-5051,셀프,N,Y
A0000704,서울 은평구,코끼리주유소,자가상표,서울 은평구 서오릉로 41 (녹번동),02-384-4000,일반,N,N
A0000707,서울 은평구,(주)명연에너지 수색훼미리주유소,HD현대오일뱅크,서울 은평구 수색로 236 (수색동),02-374-8770,셀프,N,N
A0000725,서울 은평구,불광주유소,HD현대오일뱅크,서울 은평구 연서로 314 (불광동),02-382-5149,셀프,N,N
A0000745,서울 은평구,박석고개주유소,SK에너지,서울 은평구 통일로 945 (갈현동),02-388-0477,셀프,N,Y
A0005900,서울 은평구,응암주유소,HD현대오일뱅크,서울 은평구 응암로 163,02-303-1448,셀프,N,N
A0033131,서울 은평구,뉴타운셀프주유소,S-OIL,서울 은평구 통일로 1031,02-355-3055,셀프,N,Y
A0000115,서울 마포구,SK에너지(주) 안국주유소,SK에너지,서울 마포구 양화로 33,02-3144-1197,일반,N,Y
A0000120,서울 마포구,에쓰오일(주)마포주유소,S-OIL,서울 마포구 마포대로 186 (공덕동),02-711-5189,셀프,N,Y
A0000129,서울 마포구,SK에너지 양지주유소,SK에너지,서울 마포구 마포대로 69 (도화동),02-706-8955,일반,N,Y
A0000139,서울 마포구,(주)타이거통상 월드컵주유소,S-OIL,서울 마포구 월드컵북로 170 (성산제2동),070-4121-0021,셀프,N,N
A0000146,서울 마포구,마포시엠주유소,SK에너지,서울 마포구 월드컵북로 62,02-338-9447,일반,N,N
A0000159,서울 마포구,청원주유소,HD현대오일뱅크,서울 마포구 월드컵북로 113 (성산동),02-325-5533,셀프,N,Y
A0000163,서울 마포구,(주)만성상사 대흥주유소,SK에너지,서울 마포구 대흥로 61 (대흥동),02-3273-5151,일반,N,N
A0000164,서울 마포구,(주)안국에너지 망원동주유소,SK에너지,서울 마포구 월드컵로 119 (망원동),02-334-0917,일반,N,Y
A0000169,서울 마포구,성산대교셀프주유소,HD현대오일뱅크,서울 마포구 성산로 144,02-323-0078,셀프,N,Y
A0000173,서울 마포구,에스에스오토셀프,HD현대오일뱅크,서울 마포구 서강로 76 (창전동),02-336-5185,셀프,N,Y
A0000182,서울 마포구,에쓰오일(주) 염리동주유소,S-OIL,서울 마포구 백범로 126 (염리동),02-3272-5155,셀프,N,Y
A0032673,서울 마포구,용강주유소,S-OIL,서울 마포구 토정로 258,070-7795-4800,일반,N,N
A0000206,서울 용산구,(주)남경주유소,SK에너지,서울 용산구 녹사평대로11길 24,02-793-2954,일반,N,N
A0000221,서울 용산구,한석주유소,SK에너지,서울 용산구 이촌로 164,02-790-1020,일반,N,N
A0000223,서울 용산구,동자동주유소,SK에너지,서울 용산구 한강대로104길 6 (동자동),02-754-6667,일반,N,N
A0000225,서울 용산구,(주)영원 풍기주유소,GS칼텍스,서울 용산구 원효로 178 (원효로2가),02-719-2202,일반,N,N
A0000228,서울 용산구,에너비스,SK에너지,서울 용산구 한남대로 82 (한남동),070-8707-4572,일반,N,N
A0000229,서울 용산구,HD현대오일뱅크㈜직영 한남동주유소,HD현대오일뱅크,서울 용산구 한남대로 204 (한남동),02-795-0802,일반,N,Y
A0000230,서울 용산구,HD현대오일뱅크㈜직영 강변현대주유소,HD현대오일뱅크,서울 용산구 원효로 9 (청암동),02-712-7124,일반,N,Y
A0000232,서울 용산구,HD현대오일뱅크㈜직영 갈월동주유소,HD현대오일뱅크,서울특별시 용산구  한강대로 322 (남영동),02-754-5217,일반,N,Y
A0000238,서울 용산구,한남지점,SK에너지,서울 용산구 한남대로21길 4 (한남동),070-8707-4586,일반,N,N
A0000240,서울 용산구,HD현대오일뱅크(주)직영 소월길주유소,HD현대오일뱅크,서울 용산구 소월로 66 (후암동),02-318-3314,일반,N,Y
A0000245,서울 용산구,(주)신태성주유소,SK에너지,서울 용산구 원효로 147 (원효로3가),02-701-9447,일반,N,N
A0000925,서울 용산구,서계주유소,GS칼텍스,서울 용산구  청파로 367 (청파동),02-706-6485,일반,N,N
A0000261,서울 영등포구,㈜지에스이앤알 모드니주유소,GS칼텍스,서울 영등포구 경인로 789,02-2637-7788,일반,N,Y
A0000270,서울 영등포구,씨앤에스유통(주) 한일주유소,S-OIL,서울 영등포구 도림로 486 (문래동3가),02-3667-5101,셀프,N,N
A0000279,서울 영등포구,선유도주유소,S-OIL,서울 영등포구 양평로 141 (양평동5가),02-2671-5223,셀프,N,Y
A0000287,서울 영등포구,버드나룻길주유소,SK에너지,서울 영등포구 버드나루로 111 (당산동),02-2634-5104,일반,N,N
A0000290,서울 영등포구,HD현대오일뱅크㈜직영 대일셀프주유소,HD현대오일뱅크,서울 영등포구 영등포로 168,02-2068-8700,셀프,N,Y
A0000292,서울 영등포구,지에스칼텍스㈜ 화일주유소,GS칼텍스,서울 영등포구 도림로 415,02-2633-5546,셀프,N,Y
A0000308,서울 영등포구,SK KH에너지 여의도주유소,SK에너지,서울 영등포구 국회대로 794 (여의도동),02-761-5101,일반,N,Y
A0000309,서울 영등포구,SK에너지(주) 양평주유소,SK에너지,서울 영등포구 선유로 195 (양평동3가),02-2633-1013,셀프,N,Y
A0000310,서울 영등포구,영등포현대셀프주유소,HD현대오일뱅크,서울 영등포구 경인로 822 (영등포동),02-2678-0503,셀프,N,N
A0000316,서울 영등포구,SJ오일(주) 여의도주유소,GS칼텍스,서울 영등포구 은행로 64,02-785-8201,일반,N,Y
A0000323,서울 영등포구,(주)한미석유 제2한강주유소,GS칼텍스,서울 영등포구 선유로 260 (양평동4가),02-2633-2716,셀프,N,Y
A0000324,서울 영등포구,성원이앤에스(주)영등포지점,GS칼텍스,서울 영등포구 국회대로52길 9-13 (영등포동7가),02-2635-7781,일반,N,Y
A0000327,서울 영등포구,SK에너지(주) 기린주유소,SK에너지,서울 영등포구 선유로 270,02-2671-5182,셀프,N,Y
A0000328,서울 영등포구,국회대로주유소,HD현대오일뱅크,서울 영등포구 국회대로 746 (여의도동),02-761-5122,일반,N,N
A0000346,서울 영등포구,(주)지에스이앤알 보라주유소,GS칼텍스,서울 영등포구 영등포로 399 (신길동),02-842-1155,일반,N,Y
A0000370,서울 영등포구,매봉주유소,HD현대오일뱅크,서울 영등포구 도신로 248 (신길동),02-836-8851,셀프,N,N
A0000400,서울 영등포구,(주)MS에너지,HD현대오일뱅크,서울 영등포구 대림로 230,02-844-5151,일반,N,N
A0000408,서울 영등포구,행촌주유소,SK에너지,서울 영등포구 도신로 130 (신길동),070-7758-5189,셀프,N,N
A0000410,서울 영등포구,지에스칼텍스㈜ 신길주유소,GS칼텍스,서울 영등포구 신길로 74 (신길동),02-833-1113,셀프,N,Y
A0000412,서울 영등포구,남서울고속주유소,SK에너지,서울 영등포구 가마산로 367 (대림동),02-843-5151,셀프,N,N
A0000421,서울 영등포구,(주)강서오일,HD현대오일뱅크,서울 영등포구 도신로 151,02-832-1700,셀프,N,N
A0000427,서울 영등포구,영등포제일셀프주유소,HD현대오일뱅크,서울 영등포구 가마산로 379,02-847-5151,셀프,N,N
A0000431,서울 영등포구,SK에너지(주) 신길동주유소,SK에너지,서울 영등포구 영등포로 348 (신길동),02-843-0481,일반,N,Y
A0000433,서울 영등포구,한경석유(주)경덕주유소,SK에너지,서울 영등포구 여의대방로23길 2 (신길동),02-843-3900,셀프,N,N
A0000442,서울 영등포구,씨앤에스유통 한성주유소,S-OIL,서울 영등포구 여의대방로 227,02-849-5180,일반,N,N
A0000443,서울 영등포구,성락주유소,S-OIL,서울 영등포구 가마산로 414 (신길동),02-842-6148,셀프,N,Y
A0000444,서울 영등포구,(주)대청에너지 대청주유소,GS칼텍스,서울 영등포구 가마산로 328 (대림동),02-841-8780,셀프,N,N
A0001034,서울 영등포구,도림주유소,알뜰주유소,서울 영등포구 도림로 343 (도림동),02-835-8881,셀프,N,N
A0000368,서울 동작구,창원이엔지주유소,HD현대오일뱅크,서울 동작구 사당로 59 (상도동),02-825-5151,셀프,N,N
A0000371,서울 동작구,지에스칼텍스(주) 대방주유소,GS칼텍스,서울 동작구 여의대방로 214,02-826-5145,일반,N,Y
A0000379,서울 동작구,살피재주유소,SK에너지,서울 동작구 상도로 334,02-817-2559,일반,N,N
A0000411,서울 동작구,지에스칼텍스㈜직영 남성주유소,GS칼텍스,서울 동작구 동작대로 135 (사당동),02-532-0606,셀프,N,Y
A0000425,서울 동작구,HD현대오일뱅크㈜직영 동작주유소,HD현대오일뱅크,서울 동작구 상도로 403 (상도동),02-817-9179,일반,N,Y
A0000426,서울 동작구,HD현대오일뱅크㈜직영 사당셀프주유소,HD현대오일뱅크,서울 동작구 동작대로 73 (사당동),02-521-3618,셀프,N,Y
A0000428,서울 동작구,HD현대오일뱅크㈜직영 신대방셀프주유소,HD현대오일뱅크,서울 동작구 시흥대로 616 (신대방동),02-832-7926,셀프,N,Y
A0000430,서울 동작구,HD현대오일뱅크㈜직영 흑석동셀프주유소,HD현대오일뱅크,서울 동작구 현충로 101 (흑석동),02-815-0724,셀프,N,Y
A0009553,서울 동작구,매일주유소,S-OIL,서울 동작구 상도로 139 (상도동),02-817-4085,셀프,N,N
A0000525,서울 강남구,(주)만정에너지 삼보주유소,GS칼텍스,서울 강남구 봉은사로 433 (삼성동),02-518-5141,일반,N,N
A0001185,서울 강남구,지에스칼텍스㈜ 은마주유소,GS칼텍스,서울 강남구 영동대로 235,02-3452-1882,일반,N,Y
A0001199,서울 강남구,지에스칼텍스㈜ 삼성로주유소,GS칼텍스,서울 강남구 삼성로 563 (삼성동),02-538-5138,셀프,N,Y
A0001202,서울 강남구,지에스칼텍스(주)학여울주유소,GS칼텍스,서울 강남구 남부순환로 3170 (일원2동),02-459-8829,일반,N,Y
A0001213,서울 강남구,(주)중앙에너비스 수서지점,SK에너지,서울 강남구 광평로 202 (수서동),070-8707-4582,셀프,N,N
A0001214,서울 강남구,삼성동주유소,HD현대오일뱅크,서울 강남구 테헤란로 619 (삼성동),02-508-6572,셀프,N,Y
A0001217,서울 강남구,(주)소모 쎈트럴주유소,GS칼텍스,서울 강남구 삼성로 335,02-565-0267,일반,N,Y
A0001219,서울 강남구,(주)보성 세곡주유소,SK에너지,서울 강남구  헌릉로 731 (세곡동),02-445-6870,셀프,N,N
A0001224,서울 강남구,세진에너지(주) 개포주유소,GS칼텍스,서울 강남구 양재대로 339,02-573-9031,셀프,N,N
A0001225,서울 강남구,대성석유(주)동호주유소,GS칼텍스,서울 강남구 봉은사로113길 51,02-545-0720,일반,N,N
A0006039,서울 강남구,(유)동하석유 힐탑셀프주유소,SK에너지,서울 강남구 논현로 640,02-544-4075,셀프,N,N
A0009061,서울 강남구,(주)선진도곡주유소,S-OIL,서울 강남구 도곡로 162 (도곡동),02-2058-3024,일반,N,Y
A0009705,서울 강남구,대교셀프주유소,SK에너지,서울 강남구 강남대로 640 (신사동),02-512-5521,셀프,N,N
A0009707,서울 강남구,(주)제이제이네트웍스 제이제이주유소,HD현대오일뱅크,서울 강남구 언주로 716,02-518-5631,일반,N,N
A0009710,서울 강남구,SK논현주유소,SK에너지,서울 강남구 논현로 747 (논현동),02-511-0955,일반,N,N
A0009712,서울 강남구,대동석유 압구정주유소,SK에너지,서울 강남구 언주로 842 (신사동),02-545-6161,셀프,N,N
A0009715,서울 강남구,㈜새서울석유 새서울주유소,HD현대오일뱅크,서울 강남구 압구정로 154,02-543-1154,일반,N,N
A0009724,서울 강남구,HD현대오일뱅크㈜직영 한양주유소,HD현대오일뱅크,서울 강남구 압구정로 302 (신사동),02-3444-0804,일반,N,Y
A0009725,서울 강남구,HD현대오일뱅크㈜직영 신사현대주유소,HD현대오일뱅크,서울 강남구 도산대로 163 (신사동),02-546-2182,일반,N,Y
A0009738,서울 강남구,HD현대오일뱅크㈜직영 도곡셀프주유소,HD현대오일뱅크,서울 강남구  남부순환로 2718 (도곡2동),02-529-5101,셀프,N,Y
A0009828,서울 강남구,방죽주유소,GS칼텍스,서울 강남구 밤고개로 215 (율현동),02-459-3434,셀프,N,N
A0009829,서울 강남구,자곡셀프주유소,SK에너지,서울 강남구 밤고개로 120 (자곡동),02-445-5841,셀프,N,N
A0009835,서울 강남구,오일프러스 셀프,SK에너지,서울 강남구 남부순환로 2651 (도곡동),02-3462-5100,셀프,N,N
