고유번호,지역,상호,상표,주소,전화번호
A0000774,서울 관악구,SK행복충전 명화가스충전소,SK가스,서울 관악구 관악로 96 (봉천동),02-887-0700,
A0001123,서울 관악구,신림충전소,HD현대오일뱅크,서울 관악구 신림로 170 (신림동),02-882-3434,
A0009628,서울 노원구,SK행복충전 신성에너지충전소,SK가스,서울 노원구 동일로 1113 (공릉동),02-972-2254,
A0010082,서울 노원구,태능가스(주),S-OIL,서울 노원구 화랑로 405 (공릉동),02-972-3031,
A0010129,서울 노원구,SK행복충전 노일가스충전소,SK가스,서울 노원구 동일로 1601 (상계동),02-934-8851,
A0010132,서울 노원구,복지공릉충전소,E1,서울 노원구 화랑로 826 (공릉동),02-3296-2903,
A0010133,서울 노원구,복지노원충전소,E1,서울 노원구 동일로 1778,02-934-9077,
A0010145,서울 노원구,(주)평안에너지 상계충전소,E1,서울 노원구 동일로210길 86 (중계동),02-972-5274,
A0000984,서울 양천구,SK행복충전 신흥충전소,SK가스,서울 양천구 남부순환로 311,02-2692-9909,
A0000988,서울 양천구,SK목동충전소,SK에너지,서울 양천구 목동로 193 (신정동),02-2604-6141,
A0000997,서울 양천구,SK행복충전 남양가스충전소,SK가스,서울 양천구 남부순환로 538 (신월동),02-2603-2345,
A0001000,서울 양천구,수도에너지(주)충전소,S-OIL,서울 양천구 신정로 146 (신정동),02-2060-7161,
A0001003,서울 양천구,(주)대흥가스,E1,서울 양천구 남부순환로 411 (신월동),02-2693-0535,
A0001028,서울 양천구,복지신정충전소,E1,서울 양천구 안양천로 669 (신정동),02-2645-4600,
A0005616,서울 중랑구,신내LPG충전소,SK에너지,서울 중랑구 용마산로 691(신내동),02-2208-5151,
A0009230,서울 중랑구,SK행복충전 망우충전소,SK가스,서울 중랑구 망우로 449 (망우동),02-432-5400,
A0010084,서울 중랑구,(주)풍림에너지,GS칼텍스,서울 중랑구 동일로 553 (면목동),02-434-0557,
A0010087,서울 중랑구,동일석유(주)황금충전소,SK에너지,서울 중랑구 망우로 209 (중화동),02-435-2627,
A0000904,서울 서초구,서초충전소,SK에너지,서울 서초구 남부순환로 2224 (방배동),02-582-3636,
A0000906,서울 서초구,수도석유(주)방배충전소,S-OIL,서울 서초구 동작대로 26,02-582-4141,
A0011826,서울 서초구,만남의광장주유소,GS칼텍스,서울 서초구 양재대로12길 73-71,02-573-7430,
A0010168,서울 송파구,SK행복충전 복지잠실충전소,SK가스,서울 송파구 삼전로 47 (잠실동),02-415-3311,
A0010171,서울 송파구,홍익에너지(주),E1,서울 송파구 석촌호수로 242 (석촌동),02-412-5151,
A0011829,서울 송파구,SK행복충전 오금가스충전소,SK가스,서울 송파구 마천로 103 (오금동),02-402-5151,
A0033268,서울 송파구,복지송파충전소,GS칼텍스,서울 송파구 위례중앙로 37,02-449-9123,
A0009320,서울 광진구,중곡충전소,HD현대오일뱅크,서울 광진구 동일로 323 (중곡동),02-467-4708,
A0009415,서울 광진구,한양에너지(주)충전소,SK에너지,서울 광진구 동일로 381 (중곡동),02-467-8341,
A0009416,서울 광진구,(주)해양가스,SK에너지,서울특별시 광진구 자양로 77 (자양동),02-444-2441,
A0009625,서울 강북구,국제가스공업(주),SK에너지,서울 강북구 덕릉로 70,02-988-5565,
A0009627,서울 강북구,SK행복충전 서울와사공업충전소,SK가스,서울 강북구 도봉로 318 (번동),02-902-1112,
A0009630,서울 강북구,SK행복충전 청학에너지충전소,SK가스,서울 강북구 한천로 833 (번동),02-980-1163,
A0001135,서울 금천구,(주)중앙에너비스삼중가스지점,SK에너지,서울 금천구 시흥대로 314 (독산동),070-8707-4588,
A0000095,경기 수원시,세류역LPG충전소,SK에너지,경기 수원시 권선구 정조로 316 (권선동),031-237-7782,
A0002042,경기 수원시,동수원톨게이트충전소,GS칼텍스,경기 수원시 영통구 창룡대로 369 (이의동),031-257-7332,
A0002054,경기 수원시,평동LPG충전소,GS칼텍스,경기 수원시 권선구 매송고색로 864 (평동),031-293-5111,
A0002515,경기 수원시,수원경수LPG충전소,E1,경기 수원시 권선구 정조로 296,031-235-5885,
A0002530,경기 수원시,극동산업(주),S-OIL,경기 수원시 팔달구 매산로 40 (매산로2가),031-254-5611,
A0002531,경기 수원시,(주)수일가스충전소,SK에너지,경기 수원시 권선구 평동로 31 (고색동),031-291-8376,
A0002536,경기 수원시,창진운수 주식회사,SK에너지,경기 수원시 권선구 서수원로 21 (오목천동),031-291-4433,
A0002581,경기 수원시,극동산업(주)광명충전소,S-OIL,경기 수원시 권선구 매송고색로 487 (오목천동),031-293-4466,
A0002603,경기 수원시,극동산업(주)병점충전소,S-OIL,경기 수원시 권선구 정조로 215  (대황교동),031-239-6859,
A0002676,경기 수원시,세광가스(주)행복충전소,GS칼텍스,경기 수원시 권선구 수인로 377,031-296-5151,
A0002680,경기 수원시,고색충전소,SK에너지,경기 수원시 권선구 권선로 254,031-297-8878,
A0002681,경기 수원시,수원현대충전소,HD현대오일뱅크,경기 수원시 권선구 권선로 337,031-548-0178,
A0002705,경기 수원시,(주)권선에너지,SK에너지,경기 수원시 권선구 수인로 402 (입북동),031-298-2637,
A0002743,경기 수원시,수원태평양충전소,E1,경기 수원시 권선구 수인로 34 (서둔동),031-278-7878,
A0005872,경기 수원시,SK행복충전 탑동충전소,SK가스,경기 수원시 권선구 서부로 1782 (탑동),031-296-5145,
A0006900,경기 수원시,대황교LPG충전소,SK에너지,경기 수원시 권선구 정조로 235 (대황교동),031-226-5188,
A0007126,경기 수원시,신일LPG충전소,자가상표,경기 수원시 권선구 서부로 1766 (탑동),031-293-1163,
A0007160,경기 수원시,수안LPG충전소,GS칼텍스,경기도 수원시 장안구 경수대로 1238,031-241-5337,
A0007180,경기 수원시,우성충전소,SK에너지,경기 수원시 권선구 서호동로 65 (서둔동),031-295-0076,
A0007186,경기 수원시,그린에너지,SK에너지,경기 수원시 장안구 경수대로 1196 (파장동),031-253-7715,
A0007246,경기 수원시,북수원톨게이트충전소,GS칼텍스,경기 수원시 장안구 경수대로 1184,031-251-2367,
A0007358,경기 수원시,수원충전소,SK가스,경기도 수원시 장안구  경수대로976번길 13 (송죽동),031-243-2690,
A0007400,경기 수원시,SK행복충전 광교신도시충전소,SK가스,경기 수원시 영통구 광교호수로 101 (하동),031-216-7149,
A0007429,경기 수원시,(주)희망가스충전소,SK에너지,경기 수원시 영통구 창룡대로 230,031-251-0707,
A0007441,경기 수원시,(주)북문가스,HD현대오일뱅크,경기 수원시 장안구 팔달로 247번길 1 (영화동),031-256-5683,
A0007537,경기 수원시,수원해월LPG충전소,E1,경기 수원시 영통구 삼성로 319,031-211-3121,
A0033100,경기 수원시,SK행복충전 황계충전소,SK가스,경기 수원시 권선구 경수대로 14 (대황교동),031-222-0059,
A0033680,경기 수원시,비행장충전소,SK에너지,경기 수원시 권선구 정조로 287,031-222-2544,
A0005646,경기 성남시,궁내동가스충전소,HD현대오일뱅크,경기 성남시 분당구 대왕판교로 272,031-716-1622,
A0005732,경기 성남시,SK행복충전 수정충전소,SK가스,경기 성남시 수정구 성남대로 1543,031-759-4551,
A0005734,경기 성남시,이원엘피지성남충전소,E1,경기 성남시 수정구  성남대로 1327 (태평동),031-754-0683,
A0005737,경기 성남시,대기가스충전소,SK에너지,경기 성남시 수정구 산성대로 217 (신흥동),031-757-0757,
A0005740,경기 성남시,서울하이페스센터LPG충전소,SK에너지,경기도 성남시 분당구 대왕판교로 294,031-714-7255,
A0005742,경기 성남시,판교충전소,SK가스,경기 성남시 수정구 대왕판교로 860 (시흥동),031-722-6252,
A0005744,경기 성남시,SK행복충전 한일가스산업 성남충전소,SK가스,경기 성남시 수정구 성남대로 1203 (수진동),031-752-2776,
A0005764,경기 성남시,(주)소모에너지 분당충전소,GS칼텍스,경기 성남시 분당구  탄천상로 116 (구미동),031-716-8120,
A0005774,경기 성남시,에코충전소,SK가스,경기 성남시 중원구 경충대로 2558 (갈현동),031-757-1321,
A0005779,경기 성남시,대성산업(주)성남충전소,GS칼텍스,경기 성남시 중원구 둔촌대로 347 (하대원동),031-751-6525,
A0005794,경기 성남시,(주)성남에너지,E1,경기 성남시 중원구  경충대로 2653 (갈현동),031-755-7600,
A0005795,경기 성남시,(주)허스코 분당GS충전소,GS칼텍스,경기 성남시 분당구 대왕판교로 359 (궁내동),031-719-4144,
A0009027,경기 성남시,SK행복충전 SKOK충전소,SK가스,경기 성남시 분당구 대왕판교로 131,031-726-0792,
A0004528,경기 의정부시,금오충전소,SK에너지,경기도 의정부시  호국로 1620 (금오동),031-821-1750,
A0004625,경기 의정부시,복지북부충전소,E1,경기 의정부시 평화로 75,031-871-5541,
A0004638,경기 의정부시,의정부가득충전소,자가상표,경기 의정부시 민락로 554,031-853-3004,
A0004916,경기 의정부시,SK행복충전 KH에너지 직영 장암충전소,SK가스,경기 의정부시 동일로 141 (장암동),031-826-3465,
A0004967,경기 의정부시,대성산업(주)의정부충전소,GS칼텍스,경기 의정부시 평화로 433,031-877-2207,
A0004989,경기 의정부시,대로충전소,HD현대오일뱅크,경기 의정부시 가금로 75 (가능동),031-846-2206,
A0004996,경기 의정부시,녹양LPG충전소,E1,경기 의정부시 평화로 801,031-848-8894,
A0005017,경기 의정부시,의정부충전소,E1,경기 의정부시 금신로 54,031-874-6531,
A0033183,경기 의정부시,(주)케이엘페트로 의정부주유소/충전소,HD현대오일뱅크,경기도 의정부시 구리포천고속도로 19(산곡동),031-928-4779,
A0001934,경기 안양시,안양LPG충전소,E1,경기 안양시 동안구 경수대로 957 (비산동),031-449-2033,
A0001965,경기 안양시,(주)삼표에너지 안양사업소,GS칼텍스,경기 안양시 만안구 시민대로 45 (안양동),031-443-7111,
A0008175,경기 안양시,상신가스충전소,E1,경기 안양시 동안구 관악대로 283 (관양동),031-385-8275,
A0008195,경기 안양시,동일석유(주)신안충전소,SK에너지,경기 안양시 동안구 엘에스로 101,031-452-9414,
A0009968,경기 안양시,SK행복충전 안양충전소,SK가스,경기 안양시 만안구 안양로 575,031-474-1361,
A0000127,경기 부천시,서해가스충전소,GS칼텍스,경기 부천시 원미구 송내대로 377 (상동),032-326-9956,
A0000563,경기 부천시,SK행복충전 고강충전소,SK가스,경기 부천시 오정구 봉오대로 472,032-671-5188,
A0005953,경기 부천시,로안충전소,SK에너지,경기 부천시 오정구 벌말로 157 (대장동),032-681-2222,
A0006012,경기 부천시,SK행복충전 원미가스충전소,SK가스,경기 부천시 원미구 길주로 610 (춘의동),032-671-7667,
A0006023,경기 부천시,중동LPG충전소,E1,경기 부천시 오정구 벌말로 62 (대장동),032-671-1251,
A0006044,경기 부천시,동일석유(주)부천충전소,SK에너지,경기 부천시 오정구 석천로 445 (삼정동),032-673-6719,
A0006066,경기 부천시,공항가스충전소,SK에너지,경기 부천시 오정구 역곡로 558,032-679-5189,
A0030506,경기 부천시,부천LPG충전소,E1,경기 부천시 원미구 길주로 429 (춘의동),032-678-9436,
A0033296,경기 부천시,(주)옥길충전소,HD현대오일뱅크,경기도 부천시 옥길로 143(옥길동),032-342-9660,
A0033297,경기 부천시,SK행복충전 부천IC충전소,SK가스,경기도 부천시 신흥로441번길 8(삼정동),032-682-0880,
A0004830,경기 동두천시,창림에너지(주),E1,경기 동두천시 평화로 2884-2 (상봉암동),031-866-8111,
A0004937,경기 동두천시,창림에너지(주),E1,경기 동두천시 평화로 2244 (지행동),031-862-8111,
A0011845,경기 동두천시,동두천LPG충전소,SK에너지,경기 동두천시 강변로 36,031-861-4114,
A0033153,경기 동두천시,(주)신진LPG충전소,HD현대오일뱅크,경기 동두천시 삼육사로 706 (상패동),031-867-5200,
A0001870,경기 광명시,SK행복충전 가학충전소,SK가스,경기 광명시 광명로 159 (가학동),02-2615-6697,
A0006872,경기 광명시,극동실업(주)충전소,SK에너지,경기 광명시 범안로 903 (하안동),02-898-1212,
A0008343,경기 광명시,다원FNC 광명충전소,HD현대오일뱅크,경기 광명시 광명로 675 (광명동),02-2613-4904,
A0008399,경기 광명시,SK행복충전 헵시바LPG충전소,SK가스,경기 광명시 오리로 1044(광명동),02-2615-5151,
A0000243,경기 이천시,이천마장충전소,SK에너지,경기 이천시 마장면 중부대로 566,031-638-5102,
A0003497,경기 이천시,(주)대주에너지 반월성충전소,SK에너지,경기 이천시 설성면 서동대로 8213,031-641-2257,
A0003614,경기 이천시,장호원LPG충전소,E1,경기 이천시 장호원읍 경충대로 113,031-642-4981,
A0003668,경기 이천시,이천강가충전소,HD현대오일뱅크,경기 이천시 부발읍 중부대로 1778,031-635-5185,
A0003795,경기 이천시,삼원가스,HD현대오일뱅크,경기 이천시 이섭대천로 1126 (진리동),031-634-1818,
A0003847,경기 이천시,관리LPG충전소,S-OIL,경기 이천시 마장면 마도로 259,031-638-5137,
A0003881,경기 이천시,SK행복충전 서진충전소,SK가스,경기 이천시 황무로 747 (송정동),031-631-4653,
A0003949,경기 이천시,SK가스덕평충전소 이천지점,SK가스,경기도 이천시 마장면 서이천로 189-11 (마장면),031-633-0383,
A0003964,경기 이천시,에스케이 서천충전소,SK가스,경기 이천시 경충대로 2839 (관고동),031-631-6092,
A0004061,경기 이천시,대보건설㈜이천(하남)주유소/충전소,E1,경기 이천시 신둔면 서이천로853번길 346-129,031-637-0953,
A0004068,경기 이천시,동일석유(주)이천충전소,SK에너지,경기 이천시 경충대로 2806 (관고동),031-634-2000,
A0004088,경기 이천시,서창산업(주)이천(하)주유소,HD현대오일뱅크,경기 이천시 마장면 중부대로609번길 244-35,031-637-0401,
A0004154,경기 이천시,광신직영(랜드마크충전소),S-OIL,경기 이천시 모가면 사실로 878,031-635-2004,
A0004176,경기 이천시,덕평(양방향)주유소충전소,SK에너지,경기 이천시 마장면 덕이로154번길 287-74,031-635-8858,
A0010886,경기 이천시,SK행복충전 양촌충전소,SK가스,경기 이천시 마장면 중부대로 88,031-633-1112,
A0033174,경기 이천시,마장프리미엄충전소(통영방향),SK에너지,경기도 이천시 마장면 중부고속도로 82,031-638-7932,
A0001265,경기 평택시,(주)동신에너지 안중충전소,S-OIL,경기 평택시 안중읍 안현로 544,031-682-6823,
A0002847,경기 평택시,(주)몬타나파트너스 평택LPG충전소,SK에너지,경기 평택시 서동대로 3616 (신평동),0,
A0002852,경기 평택시,SK행복충전 SK에너지공단충전소,SK가스,경기 평택시 경기대로 1038 (장당동),031-662-5858,
A0002856,경기 평택시,만호LPG충전소,E1,경기 평택시 포승읍 서동대로 775,031-683-7053,
A0002860,경기 평택시,SK동아에너지주유소충전소,SK에너지,경기 평택시 남북대로 545  (동삭동),031-664-7743,
A0002878,경기 평택시,도원LPG충전소,E1,경기 평택시 청원로 1630 (도일동),031-611-9072,
A0002972,경기 평택시,지산LPG충전소,E1,경기 평택시 지산로 229 (지산동),031-611-9014,
A0002994,경기 평택시,청북LPG충전소,HD현대오일뱅크,경기 평택시 청북읍 서해로 1578,031-681-0089,
A0003163,경기 평택시,평택 한이에너지 충전소,E1,경기 평택시 오성면 서동대로 2043,031-686-8785,
A0003182,경기 평택시,SK행복충전 송탄충전소,SK가스,경기 평택시 탄현로 400 (독곡동),031-663-3151,
A0003219,경기 평택시,라인45충전소,SK에너지,경기 평택시 팽성읍 팽성로 226,031-656-3543,
A0003254,경기 평택시,(주)정원충전소,S-OIL,경기 평택시 평택로 292 (세교동),031-652-3200,
A0003372,경기 평택시,정원에너지,S-OIL,경기 평택시 남북대로 658,031-658-0660,
A0003381,경기 평택시,평송LPG충전소,SK에너지,경기 평택시 진위면 경기대로 1915,031-664-8680,
A0003420,경기 평택시,SK행복충전 조이에너지 오성충전소,SK가스,경기 평택시 오성면 오성서로 5,031-682-8673,
A0003428,경기 평택시,(주)송림가스 블루에너지충전소,GS칼텍스,경기 평택시 청원로 1409,031-611-5104,
A0003433,경기 평택시,(주)현곡주유소/충전소,SK가스,경기 평택시 청원로 27 (청북면),031-683-3223,
A0003437,경기 평택시,은실충전소,HD현대오일뱅크,경기 평택시 은실고가길 5,031-618-3738,
A0005709,경기 평택시,SK행복충전 서평택LPG충전소,SK가스,경기 평택시 오성면 서동대로 1988,031-683-9999,
A0033482,경기 평택시,평택복합휴게소(평택방향)주유소/충전소,SK에너지,경기 평택시 청북읍 평택제천고속도로 6,070-4172-8085,
A0033485,경기 평택시,평택복합휴게소(제천방향)주유소/충전소,SK에너지,경기 평택시 청북읍 평택제천고속도로 6,070-4172-8087,
A0033610,경기 평택시,평택항충전소,GS칼텍스,경기도 평택시 포승읍 포승향남로 228,031-686-5158,
A0001232,경기 구리시,(주)성림에너지 사노충전소,GS칼텍스,경기 구리시 금강로 331-15 (사노동),031-575-3365,
A0006485,경기 구리시,SK행복충전 복지구리충전소,SK가스,경기 구리시 동구릉로 188 (인창동),031-557-9300,
A0006564,경기 구리시,토평LPG충전소,E1,경기 구리시 벌말로 8,031-567-2121,
A0006709,경기 구리시,아천충전소,GS칼텍스,경기 구리시 아차산로 196 (아천동),031-569-5151,
A0023923,경기 구리시,구리LPG충전소,E1,경기 구리시 경춘북로 348,031-552-0242,
A0001453,경기 과천시,과천LPG충전소,E1,경기 과천시 중앙로 526 (과천동),02-3418-7100,
A0008184,경기 과천시,SK행복충전 케이씨에너지충전소,SK가스,경기 과천시 과천대로 20,02-507-4022,
A0007016,경기 안산시,(주)극동산업,SK에너지,경기 안산시 단원구 선이로 39 (선부동),031-484-6668,
A0007032,경기 안산시,해안로충전소,GS칼텍스,경기 안산시 상록구 해안로 738 (사동),031-419-5145,
A0007037,경기 안산시,한창충전소,S-OIL,경기도 안산시 단원구  대선로 419 (대부남동),032-881-0147,
A0007040,경기 안산시,SK행복충전 안산가스충전소,SK가스,경기 안산시 상록구 선진안길 83 (사동),031-409-7483,
A0007060,경기 안산시,중산LPG안산 충전소,E1,경기 안산시 상록구 안산천서로6길 16 (월피동),031-486-1561,
A0007104,경기 안산시,안산성원충전소,SK에너지,경기 안산시 상록구 수인로 1848 (장상동),031-411-8830,
A0007107,경기 안산시,케이와이에너지(주)느티나무충전소,HD현대오일뱅크,경기 안산시 단원구 시흥대로 84-9,031-432-1026,
A0007112,경기 안산시,SK행복충전 일신에너지충전소,SK가스,경기 안산시 상록구 수인로 1125,031-437-3723,
A0007115,경기 안산시,신길LPG충전소,E1,경기 안산시 단원구 중앙대로 179 (신길동),031-492-8543,
A0007116,경기 안산시,SK행복충전 경기태평양충전소,SK가스,경기 안산시 상록구 가루개로 181  (양상동),031-413-3557,
A0007118,경기 안산시,(주)우리에너지,SK에너지,경기 안산시 상록구 서해로 2938,031-437-3555,
A0010346,경기 안산시,반월충전소,SK에너지,경기 안산시 상록구 서해로 2833,031-419-0142,
A0033175,경기 안산시,샛뿔충전소,E1,경기 안산시 단원구 중앙대로 240 (신길동),031-492-9788,
A0033633,경기 안산시,안산주유소(인천방향),SK에너지,경기 안산시 단원구 영동고속도로 15,031-402-5157,
A0033634,경기 안산시,안산주유소(강릉방향),SK에너지,경기 안산시 단원구 영동고속도로 15,031-403-5158,
A0002161,경기 오산시,삼미충전소,GS칼텍스,경기 오산시 경기대로 725 (내삼미동),031-378-1148,
A0002192,경기 오산시,신도시충전소,SK에너지,경기 오산시 외삼미로 88,031-372-5818,
A0002402,경기 오산시,프라자충전소,HD현대오일뱅크,경기 오산시  경기동로 197 (부산동),031-373-0600,
A0002642,경기 오산시,오산충전소(과천방향),SK에너지,경기 오산시 수도권제2순환고속도로 13,031-000-0000,
A0002643,경기 오산시,오산충전소(동탄방향),SK에너지,경기 오산시 수도권제2순환고속도로 14,031-376-5158,
A0002661,경기 오산시,오산대역충전소,E1,경기 오산시 경기대로 497,031-377-4611,
A0006949,경기 오산시,동서LPG충전소,SK에너지,경기 오산시 서동로 65 (서동),031-376-1881,
A0007417,경기 오산시,오산엘피지충전소,E1,경기 오산시 경기대로 146 (원동),031-374-2822,
A0007549,경기 오산시,SK오산충전소,SK가스,경기 오산시 오산천로 3-9,031-377-8228,
A0001871,경기 의왕시,청계충전소,SK에너지,경기 의왕시 안양판교로 469 (청계동),031-426-2651,
A0008166,경기 의왕시,SK행복충전 의왕가스충전소,SK가스,경기 의왕시 경수대로 75 (왕곡동),031-458-5201,
A0008191,경기 의왕시,의왕오렌지충전소,E1,경기 의왕시 경수대로 399 (오전동),031-427-5801,
A0008223,경기 의왕시,(주)삼진에너지 의왕충전소,HD현대오일뱅크,경기 의왕시 오봉로 183 (이동),031-461-5231,
A0008228,경기 의왕시,에스케이원일충전소,SK가스,경기 의왕시 안양판교로 372,031-426-0105,
A0001924,경기 군포시,군포충전소,GS칼텍스,경기 군포시 번영로 204 (부곡동),031-462-5500,
A0001931,경기 군포시,(주)대야엘피지충전소,GS칼텍스,경기 군포시 군포로 148,031-437-7755,
A0001985,경기 군포시,(주)대양충전소,GS칼텍스,경기도 군포시  엘에스로 156 (금정동),031-427-0033,
A0000711,경기 시흥시,(주)세지에너지주유소/충전소,SK에너지,경기 시흥시 서해안로 120,031-365-5090,
A0006978,경기 시흥시,금이LPG충전소,E1,경기 시흥시 수인로 2681 (금이동),031-316-3555,
A0008270,경기 시흥시,포동가스충전소,SK에너지,경기 시흥시 시흥대로 711 (하중동),031-317-7305,
A0008373,경기 시흥시,목감LPG충전소,E1,경기 시흥시 수인로 2536 (논곡동),031-401-2213,
A0008375,경기 시흥시,서일산업(주) 정왕가스,S-OIL,경기 시흥시 서해안로 580,031-499-0206,
A0008420,경기 시흥시,배곧충전소,SK에너지,경기 시흥시 서해안로 559 (정왕동),031-434-7685,
A0008435,경기 시흥시,시화충전소,GS칼텍스,경기 시흥시 서해안로 596 (정왕동),031-319-3081,
A0033002,경기 시흥시,SK헵시바충전소,SK가스,경기 시흥시 희망공원로 280,031-314-3938,
A0033228,경기 시흥시,시흥하늘주유소(판교방향),SK에너지,경기 시흥시 수도권제1순환고속도로 106,031-481-8149,
A0033229,경기 시흥시,시흥하늘주유소(일산방향),SK에너지,경기 시흥시 수도권제1순환고속도로 105-1,031-481-8147,
A0033514,경기 시흥시,목감신도시충전소,SK에너지,경기도 시흥시  동서로 950,031-439-6330,
A0033554,경기 시흥시,은계충전소,SK에너지,경기 시흥시 은계중앙로 192(은행동),031-311-0370,
A0005929,경기 남양주시,남양주고려LPG충전소,E1,경기 남양주시 오남읍 양지로 356,031-528-2351,
A0006332,경기 남양주시,화도에너지,SK에너지,경기 남양주시 화도읍 경춘로 2205,031-593-1164,
A0006458,경기 남양주시,광전충전소,S-OIL,경기 남양주시 별내면 송산로 638,031-529-3161,
A0006524,경기 남양주시,신화에너지 송능충전소,SK에너지,경기 남양주시 진건읍 진건오남로 405-12,031-528-5741,
A0006638,경기 남양주시,팔당LPG충전소,SK에너지,경기 남양주시 와부읍 경강로 957,031-521-8851,
A0006659,경기 남양주시,SK행복충전 퇴계원IC충전소,SK가스,경기 남양주시 퇴계원면 경춘북로 477,031-528-6780,
A0006676,경기 남양주시,SK행복충전 대성충전소,SK가스,경기 남양주시 진건읍 금강로 586,031-529-2903,
A0006708,경기 남양주시,남양주LPG충전소,SK에너지,경기 남양주시 경춘로 833 (일패동),031-595-9370,
A0006756,경기 남양주시,덕소충전소,SK에너지,경기 남양주시  경강로 228,031-557-8363,
A0006794,경기 남양주시,호평LPG충전소,E1,경기 남양주시 경춘로 1510,031-559-5720,
A0006808,경기 남양주시,SK행복충전 별내충전소,SK가스,경기 남양주시 덕릉로 1123,031-575-7477,
